Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00    81034     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, TSTNode*> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00    54111     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, TSTNode*> >::_M_ptr() const
  0.00      0.00     0.00    54111     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, TSTNode*> >::_M_addr() const
  0.00      0.00     0.00    54111     0.00     0.00  std::_Select1st<std::pair<char const, TSTNode*> >::operator()(std::pair<char const, TSTNode*> const&) const
  0.00      0.00     0.00    54111     0.00     0.00  std::_Rb_tree_node<std::pair<char const, TSTNode*> >::_M_valptr() const
  0.00      0.00     0.00    49815     0.00     0.00  std::less<char>::operator()(char const&, char const&) const
  0.00      0.00     0.00    40872     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::end()
  0.00      0.00     0.00    38501     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_S_key(std::_Rb_tree_node<std::pair<char const, TSTNode*> > const*)
  0.00      0.00     0.00    38501     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_S_value(std::_Rb_tree_node<std::pair<char const, TSTNode*> > const*)
  0.00      0.00     0.00    32086     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, TSTNode*> >::_M_ptr()
  0.00      0.00     0.00    32086     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, TSTNode*> >::_M_addr()
  0.00      0.00     0.00    32086     0.00     0.00  std::_Rb_tree_node<std::pair<char const, TSTNode*> >::_M_valptr()
  0.00      0.00     0.00    30402     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_M_end()
  0.00      0.00     0.00    29910     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      0.00     0.00    29910     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      0.00     0.00    29910     0.00     0.00  std::tuple<char const&>&& std::forward<std::tuple<char const&> >(std::remove_reference<std::tuple<char const&> >::type&)
  0.00      0.00     0.00    29744     0.00     0.00  std::map<char, TSTNode*, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::end()
  0.00      0.00     0.00    29577     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, TSTNode*> >::operator==(std::_Rb_tree_iterator<std::pair<char const, TSTNode*> > const&) const
  0.00      0.00     0.00    19997     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_M_begin()
  0.00      0.00     0.00    17957     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00    17779     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<char const, TSTNode*> >*, std::_Rb_tree_node<std::pair<char const, TSTNode*> >*, char const&)
  0.00      0.00     0.00    17580     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00    16890     0.00     0.00  std::_Deque_iterator<TSTNode*, TSTNode*&, TSTNode**>::operator*() const
  0.00      0.00     0.00    15610     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00    15610     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.00     0.00    14014     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, TSTNode*> >::operator->() const
  0.00      0.00     0.00    12962     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.00     0.00    12090     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, TSTNode*> >::operator*() const
  0.00      0.00     0.00    11966     0.00     0.00  TSTNode* const& std::forward<TSTNode* const&>(std::remove_reference<TSTNode* const&>::type&)
  0.00      0.00     0.00    11965     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, TSTNode*> >::operator!=(std::_Rb_tree_iterator<std::pair<char const, TSTNode*> > const&) const
  0.00      0.00     0.00    11964     0.00     0.00  std::_Head_base<0ul, char const&, false>::_M_head(std::_Head_base<0ul, char const&, false>&)
  0.00      0.00     0.00    11964     0.00     0.00  std::_Head_base<0ul, char const&, false>::_Head_base(char const&)
  0.00      0.00     0.00    11964     0.00     0.00  std::_Tuple_impl<0ul, char const&>::_M_head(std::_Tuple_impl<0ul, char const&>&)
  0.00      0.00     0.00    11964     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_M_get_Node_allocator()
  0.00      0.00     0.00    11964     0.00     0.00  char const& std::forward<char const&>(std::remove_reference<char const&>::type&)
  0.00      0.00     0.00     9580     0.00     0.00  std::map<char, TSTNode*, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::find(char const&)
  0.00      0.00     0.00     9580     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::find(char const&)
  0.00      0.00     0.00     8201     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::begin()
  0.00      0.00     0.00     8199     0.00     0.00  std::map<char, TSTNode*, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::lower_bound(char const&)
  0.00      0.00     0.00     8199     0.00     0.00  std::map<char, TSTNode*, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::operator[](char const&)
  0.00      0.00     0.00     8199     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::lower_bound(char const&)
  0.00      0.00     0.00     7508     0.00     0.00  TSTree::add_link(TSTNode*)
  0.00      0.00     0.00     5987     0.00     0.00  std::_Rb_tree_node_base::_Rb_tree_node_base()
  0.00      0.00     0.00     5983     0.00     0.00  TSTNode::TSTNode(unsigned long, unsigned long, bool, bool)
  0.00      0.00     0.00     5983     0.00     0.00  void __gnu_cxx::new_allocator<TSTNode*>::destroy<TSTNode*>(TSTNode**)
  0.00      0.00     0.00     5983     0.00     0.00  void __gnu_cxx::new_allocator<TSTNode*>::construct<TSTNode*, TSTNode* const&>(TSTNode**, TSTNode* const&)
  0.00      0.00     0.00     5983     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, TSTNode*> > >::new_allocator()
  0.00      0.00     0.00     5983     0.00     0.00  std::allocator<std::_Rb_tree_node<std::pair<char const, TSTNode*> > >::allocator()
  0.00      0.00     0.00     5983     0.00     0.00  void std::allocator_traits<std::allocator<TSTNode*> >::destroy<TSTNode*>(std::allocator<TSTNode*>&, TSTNode**)
  0.00      0.00     0.00     5983     0.00     0.00  void std::allocator_traits<std::allocator<TSTNode*> >::construct<TSTNode*, TSTNode* const&>(std::allocator<TSTNode*>&, TSTNode**, TSTNode* const&)
  0.00      0.00     0.00     5983     0.00     0.00  std::map<char, TSTNode*, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::begin()
  0.00      0.00     0.00     5983     0.00     0.00  std::map<char, TSTNode*, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::map()
  0.00      0.00     0.00     5983     0.00     0.00  std::deque<TSTNode*, std::allocator<TSTNode*> >::pop_back()
  0.00      0.00     0.00     5983     0.00     0.00  std::deque<TSTNode*, std::allocator<TSTNode*> >::push_back(TSTNode* const&)
  0.00      0.00     0.00     5983     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_Rb_tree_impl<std::less<char>, true>::_M_initialize()
  0.00      0.00     0.00     5983     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_Rb_tree_impl<std::less<char>, true>::_Rb_tree_impl()
  0.00      0.00     0.00     5983     0.00     0.00  std::_Rb_tree<char, std::pair<char const, TSTNode*>, std::_Select1st<std::pair<char const, TSTNode*> >, std::less<char>, std::allocator<std::pair<char const, TSTNode*> > >::_Rb_tree()
  0.00      0.00     0.00     5982     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, TSTNode*> > >::allocate(unsigned long, void const*)
  0.00      0.00     0.00     5982     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt13_Rb_tree_nodeISt4pairIKcP7TSTNodeEEE9constructIS6_IRKSt21piecewise_construct_tSt5tupleIIRS3_EESD_IIEEEEEvPT_DpOT0_
  0.00      0.00     0.00     5982     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, TSTNode*> >::__aligned_membuf()
  0.00      0.00     0.00     5982     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, TSTNode*> > >::max_size() const
  0.00      0.00     0.00     5982     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<char const, TSTNode*> >::_M_const_cast() const
  0.00      0.00     0.00     5982     0.00     0.00  std::_Tuple_impl<0ul, char const&>::_Tuple_impl(std::_Tuple_impl<0ul, char const&>&&)
  0.00      0.00     0.00     5982     0.00     0.00  std::_Tuple_impl<0ul, char const&>::_Tuple_impl(char const&)
  0.00      0.00     0.00     5982     0.00     0.00  std::_Rb_tree_node<std::pair<char const, TSTNode*> >::_Rb_tree_node()
  0.00      0.00     0.00     5982     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, TSTNode*> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<char const, TSTNode*> > >&, unsigned long)
  0.00      0.00     0.00     5982     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, TSTNode*> > > >::construct<std::pair<char const, TSTNode*>, std::piecewise_construct_t const&, std::tuple<char const&>, std::tuple<> >(std::allocator<std::_Rb_tree_node<std::pair<char const, TSTNode*> > >&, std::pair<char const, TSTNode*>*, std::piecewise_construct_t const&, std::tuple<char const&>&&, std::tuple<>&&)
  0.00      0.00     0.00     5982     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, TSTNode*> >::operator++()
  0.00      0.00     0.00     5982     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<char const, TSTNode*> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<char const, TSTNode*> > const&)
